Title,Date,Category,Content,Link,Image
'Oppenheimer' tops Oscar nominations with 13,Monday 8 January 2024 - 09:37,international,"“Oppenheimer” — Christopher Nolan’s masterly portrait of the father of the atomic bomb — topped the Oscars nominations Tuesday, earning an impressive 13 nods including for best picture.
It was followed by “Poor Things,” a female-focused take on the Frankenstein myth, with 11, and Martin Scorsese’s “Killers of the Flower Moon” on 10.AdChoicesADVERTISING",https://en.hespress.com/78574-oppenheimer-tops-oscar-nominations-with-13.html,https://e1.hespress.com/wp-content/uploads/2024/01/Oppenheimere.jpeg
'Oppenheimer' tops Oscar nominations with 13,Monday 8 January 2024 - 09:37,international,"“Oppenheimer” — Christopher Nolan’s masterly portrait of the father of the atomic bomb — topped the Oscars nominations Tuesday, earning an impressive 13 nods including for best picture.
It was followed by “Poor Things,” a female-focused take on the Frankenstein myth, with 11, and Martin Scorsese’s “Killers of the Flower Moon” on 10.",https://en.hespress.com/78574-oppenheimer-tops-oscar-nominations-with-13.html,https://e1.hespress.com/wp-content/uploads/2024/01/Oppenheimere.jpeg
'Oppenheimer' tops Oscar nominations with 13,Monday 8 January 2024 - 09:37,international,"“Oppenheimer” — Christopher Nolan’s masterly portrait of the father of the atomic bomb — topped the Oscars nominations Tuesday, earning an impressive 13 nods including for best picture.
It was followed by “Poor Things,” a female-focused take on the Frankenstein myth, with 11, and Martin Scorsese’s “Killers of the Flower Moon” on 10.",https://en.hespress.com/78574-oppenheimer-tops-oscar-nominations-with-13.html,https://e1.hespress.com/wp-content/uploads/2024/01/Oppenheimere.jpeg
Israeli product boycott regains momentum with Pizza Hut at the forefront,Tuesday 23 January 2024 - 14:11,international,"Many businesses, including McDonald’s, Zara, and Carrefour, are being boycotted in light of the Gaza-Israel conflict for their steadfast support of the Israeli Defense Force (IDF). Pizza Hut has now joined this list.
On X, previously known as Twitter, many voiced their call to boycott the fast food brand, as several pictures show IDF soldiers holding Pizza Hut boxes and showing gratitude to the brand for providing free meals to their military bases. AdChoicesADVERTISING

More trash to boycott! #PizzaHut ‘s latest flavour is genocide! #BoycottPizzaHut https://t.co/4nNHVlWntD
— Rania (@umyaznemo) January 19, 2024





Lebanese Journalist Ghadi Francis, after sharing pictures of the IDF soldiers posing with the boxes, wrote on X, “Did the genocide lover franchise close all its stores in Lebanon yet?
What are we waiting for? @pizzahut.”
Dr. Anastasia Maria Loupis shared a screenshot from an Instagram story by Pizza Hut Israel showing the soldiers happily grabbing dozens of pizza boxes and writing on the same platform, “Should we do Pizza Hut next?” (referring to boycotting the franchise.)
Several statements hint that the food franchise is providing free meals to Israeli soldiers in light of the innocent killing of thousands of civilians in Gaza.
As the hashtag #boycottpizzahut went viral, many Israeli social media users shared content featuring their Pizza Hut orders.

PIZZA HUT STANDS WITH CHILD KILLERS 🤮
REMEMBER THAT 🤬#BoycottPizzaHut 🇮🇱 pic.twitter.com/ciztFoZX1X
— Khan Study Centre (@khanstudycentre) January 20, 2024


It’s literally so easy to boycott those fast food corps who give their money to Israel
You can cook better food for urself,,,andddd it’s healthier!!!
The food at McDonald’s, Starbucks, Pizza Hut, etc is so greasy, packed w calories, and EXPENSIVE.
You deserve better.
— Megs!! (@Megs_needsrest) January 21, 2024

The coffee brand Starbucks and the fast food giant McDonald’s have suffered great losses in light of the growing boycott, which is why many wonder why Pizza Hut didn’t learn from these previous examples.
Nevertheless, several McDonald’s and Starbucks branches voiced their complete disconnect from the bigger companies that help fund the IDF.
For instance, McDonald’s Malaysia has sued a pro-Palestinian group for $1.3 million over its calls to boycott companies allegedly supporting Israel.
The same McDonald’s said it “does not support nor condone the current conflict in the Middle East.” According to a copy of the legal document seen by AFP, it has sought six million ringgit in damages for alleged defamation.
Starbucks Corp., on the other hand, witnessed a USD11 billion decline in market value following a boycott and employee strikes.",https://en.hespress.com/78519-israeli-product-boycott-regains-momentum-with-pizza-hut-at-the-forefront.html,https://e1.hespress.com/wp-content/uploads/2024/01/Agisilaou-Spyrou-Photography-SPY_3132-800x533-1.jpg
Societe Generale fined 4.5 mn euros over 'unjustified fees',Monday 21 August 2023 - 16:00,international,"France’s fraud watchdog said Monday that it had fined banking giant Societe Generale 4.5 million euros ($4.9 million) for “deceptive marketing practices” that saw clients charged “unjustified fees”.
The DGCCRF agency said the fine was “proportional to the seriousness of the acts” that were discovered in an investigation from April 2019 to January 2021, though it did not provide details of the fees nor say how many clients were impacted.
In a statement, the bank confirmed the fine and said the fees were the result of “an IT error”, adding that all clients had been “fully reimbursed”.",https://en.hespress.com/78507-societe-generale-fined-4-5-mn-euros-over-unjustified-fees.html,https://e1.hespress.com/wp-content/uploads/2022/04/cover-r4x3w1000-5f27ac72d24cc-socgen-creuse-ses-pertes-a-cause-des-depreciations-et-du-900x600.jpeg
UN migration agency needs $7.9 billion in 2024,Sunday 21 January 2024 - 14:00,international,"The UN’s International Organization for Migration launched its first global annual appeal on Monday, calling for $7.9 billion in 2024 to manage the growing scale of population displacement.
“Irregular and forced migration have reached unprecedented levels and the challenges we face are increasingly complex,” said IOM chief Amy Pope, adding the funding was needed to save lives, protect people on the move and find safe pathways for regular migration.",https://en.hespress.com/78505-un-migration-agency-needs-7-9-billion-in-2024.html,https://e1.hespress.com/wp-content/uploads/2023/10/pbn04132018-1-900x600.jpeg
"EU presses Israel on two-state solution after war in Gaza Brussels, Belgium",Tuesday 23 January 2024 - 14:11,international,"The EU’s foreign policy chief on Monday insisted on an eventual two-state solution as he told Israel it couldn’t build peace “only by military means” ahead of talks with Israeli and Palestinian top diplomats.
Josep Borrell repeated the condemnation from the United Nations of Israeli Prime Minister Benjamin Netanyahu’s “unacceptable” rejection of calls for a Palestinian state after the war in Gaza.
“What we want to do is to build a two-state solution. So let’s talk about it,” Borrell said.




He told Israel that “peace and stability cannot be built only by military means”.
“Which are the other solutions they have in mind? To make all the Palestinians leave? To kill off them?” Borrell said.
The surprise Hamas attack on October 7 on Israel and the subsequent devastating military response from Israel has plunged the Middle East into fresh turmoil and sparked fears of a broader conflict.
But while the bloodshed appears to have driven a long-term solution further out of sight, EU officials insist now is the time to talk about finally resolving the Israeli-Palestinian conflict.
The 27 EU ministers will first meet with Israel’s foreign minister Israel Katz, before sitting down separately with the Palestinian Authority’s top diplomat Riyad al-Maliki.
Katz and Maliki are not expected to meet each other.
The foreign ministers of Egypt, Jordan and Saudi Arabia will also hold talks with the European ministers.
The top EU diplomat said he had presented ministers from the bloc with a “comprehensive approach” towards trying to find a lasting peace including an international conference.
Borrell risked incurring Israel’s wrath by accusing it on Friday of having “created” and “financed” Hamas to undermine the prospect for a possible Palestinian state.
Borrell insisted the only way to get an enduring peace in the region was for a two-state solution to “be imposed from outside”.
The EU has struggled for a united stance on the conflict in Gaza as staunch backers of Israel such as Germany have rejected demands for an immediate ceasefire made by the likes of Spain and Ireland.
“The reports we are receiving, even as late as last evening, are dire in respect to what’s happening within Gaza,” said Ireland’s foreign minister Micheal Martin.
– ‘Imposed from outside’ –
EU officials have sketched out broad conditions for “the day after” the current war ends in Gaza, calling for no long-term Israeli occupation, an end to Hamas rule and a role for the Palestinian Authority in running the territory.
Hamas, the Islamist movement that controls the Gaza Strip, launched a surprise attack on Israel on October 7, resulting in the death of about 1,140 people in Israel, most of them civilians, according to an AFP tally based on official figures.
Militants also seized about 250 hostages during the attacks, around 132 of whom Israel says remain in Gaza.
Israel has vowed to “annihilate” Hamas in response and its relentless air and ground offensive has killed at least 25,105 people, mostly women and children, according to figures from the health ministry in Hamas-run Gaza.",https://en.hespress.com/78485-eu-presses-israel-on-two-state-solution-after-war-in-gaza-brussels-belgium.html,https://e1.hespress.com/wp-content/uploads/2023/08/Borrell.jpeg
12 dead in Israeli strike on Damascus: monitor,Thursday 28 December 2023 - 23:53,international,"A strike targeting the Iranian Revolutionary Guards’ Syria spy chief in Damascus and blamed on Israel killed 12 people, a war monitor said Sunday in an updated toll.
“The death toll has risen to 12… five Iranians, including three IRGC leaders, four Syrians working with the Iranians, two Lebanese, and one Iraqi national,” said the Syrian Observatory for Human Rights of Saturday’s strike.
The British-based monitor with a network of sources inside Syria previously reported 10 deaths.




The Islamic Revolutionary Guard Corps (IRGC) confirmed it lost five members in the strike it blamed on Israel, its regional arch-foe.
Quoting an informed source, Iran’s Mehr news agency said “the Revolutionary Guards’ Syria intel chief” and his deputy were among those “martyred in the attack on Syria by Israel”.
The monitor said the building targeted belonged to the IRGC and that the neighbourhood is known to be a high-security zone home to leaders of the IRGC and pro-Iran Palestinian factions.
The Mazzeh area is also home to a United Nations headquarters, embassies and restaurants.
Saturday’s presumed Israeli strike was the second high-profile targeted assassination in Syria in less than a month.
In December, an air strike also blamed on Israel killed a senior Iranian general in Syria.
Razi Moussavi was the most senior commander of the Quds Force to be killed outside Iran since a January 2020 US drone strike in Baghdad killed IRGC commander Qasem Soleimani.
During more than a decade of civil war in Syria, Israel has launched hundreds of air strikes, primarily targeting Iran-backed forces as well as Syrian army positions.
But such attacks have intensified since the war between Israel and Hamas, which like Lebanon’s Hezbollah movement is an ally of Iran, began on October 7.
Israel rarely comments on individual strikes targeting Syria but has repeatedly said it will not allow Iran, which backs President Bashar al-Assad’s government, to expand its presence there.
Since 2011, Syria has endured a bloody conflict that has claimed more than half a million lives and displaced several million people.",https://en.hespress.com/78457-12-dead-in-israeli-strike-on-damascus-monitor.html,https://e1.hespress.com/wp-content/uploads/2023/12/palestine-israel-guerre-99.jpeg
"Health ministry in Gaza says war death toll at 25,105",Tuesday 23 January 2024 - 14:11,international,"The health ministry in Hamas-run Gaza said Sunday at least 25,105 people have been killed in the Palestinian territory since the war with Israel broke out on October 7.
A ministry statement said some 62,681 people were also wounded in the fighting between Israeli forces and Palestinian militants.
Over the past 24 hours, the ministry said 178 people had been killed across the Gaza Strip.




“Dozens are still under the rubble,” the Hamas government media office said in a separate statement.
“Dozens of martyrs as well as people who were injured could not be transferred to hospitals due to the continued artillery shelling” on several areas of the southern city of Khan Yunis and some other parts of the strip, it said.",https://en.hespress.com/78441-health-ministry-in-gaza-says-war-death-toll-at-25105.html,https://e1.hespress.com/wp-content/uploads/2024/01/349N3TD-highres.jpg
Sudan suspends membership in IGAD east Africa bloc,Saturday 20 January 2024 - 14:27,international,"The government of war-torn Sudan has informed IGAD it is suspending its membership in the east Africa bloc, the foreign ministry loyal to army chief Abdel Fattah al-Burhan said Saturday.
Khartoum had already announced on Tuesday that it was freezing relations with IGAD for inviting paramilitary chief Mohamed Hamdan Daglo — at war with Burhan for nine months — to a summit in Uganda that discussed the Sudan conflict.
Sudan “is facing one of the fastest unfolding crises globally”, the United Nations humanitarian agency, OCHA, says, with more than 7.4 million people displaced and more than half the population needing humanitarian assistance.




The Armed Conflict Location & Event Data Project, an analyst group, puts the death toll at more than 13,000.
In a statement, Sudan’s foreign ministry said Burhan sent a letter on Saturday to President Ismail Omar Guelleho of Djibouti, current chair of the bloc, “to inform him of the Sudanese government decision suspending its membership in this organisation”.
At its summit on Thursday, IGAD reiterated its call for “an immediate and unconditional ceasefire” in the “unjust war affecting the people” of Sudan.
The bloc also expressed “continued readiness to offer its good offices to facilitate an all-inclusive peace process”, and again called for a face-to-face meeting between the two sides.
A final communique from the extraordinary assembly gave the generals two weeks to meet.
Sudan’s foreign ministry said it was this item, placed on the agenda without Sudan’s approval, which led it to the further step of suspending its membership.
The ministry also accused the summit communique of violating Sudan’s sovereignty and “wounding the sentiments of victims of rebel militia atrocities”, a reference to Daglo’s Rapid Support Forces (RSF).
Both sides have been accused of war crimes, including the indiscriminate shelling of residential areas, torture and arbitrary detention of civilians.
The RSF has also been accused of ethnically motivated mass killings, rampant looting and rapes.
IGAD, in parallel with the United States and Saudi Arabia, has repeatedly attempted to mediate between the two warring generals, but to no avail.
Daglo toured several African capitals from late December in his first foreign trip since the start of the war last April. It is part of a strategy analysts see as a bid for international legitimacy and is likely linked to the United Arab Emirates.
In Addis Ababa, Daglo signed a declaration with Sudan’s former civilian prime minister Abdalla Hamdok, who also attended the IGAD summit.
The RSF appears to have been gaining new ground in recent months, with little resistance from the army.",https://en.hespress.com/78428-sudan-suspends-membership-in-igad-east-africa-bloc.html,https://e1.hespress.com/wp-content/uploads/2023/04/sudan-guerre-4.jpg
